part,month,horizon_h,model,rows,rain_rate,roc_auc,pr_auc,brier_score,brier_climatology,brier_skill,v1_threshold,precision,recall,f1,predicted_rain_rate,false_positives,false_negatives,best_f1,best_threshold,f1_lost_to_fixed_threshold
A_year,2020-01,1,lightgbm,8317,0.00096188529517855,0.697948008183897,0.004766111971072413,0.002476292662322521,0.0009609600718574693,-1.5768944359322017,0.8500000000000002,0.0,0.0,0.0,0.00012023566189731875,1,8,0.022222222222222223,0.15000000000000002,0.022222222222222223
A_year,2020-02,1,lightgbm,8240,0.0013349514563106796,0.7248643931108385,0.04595698754359842,0.0023490150924772024,0.0013331693609199735,-0.7619780061973742,0.8500000000000002,0.0,0.0,0.0,0.00024271844660194174,2,11,0.19047619047619047,0.5000000000000001,0.19047619047619047
A_year,2020-03,1,lightgbm,8713,0.008378285320785033,0.8914256722475901,0.5274704675641946,0.011736210435628891,0.008308089655868552,-0.4126244325419419,0.8500000000000002,0.609375,0.5342465753424658,0.5693430656934306,0.0073453460346608514,25,34,0.5806451612903226,0.9000000000000002,0.011302095596891992
A_year,2020-04,1,lightgbm,8137,0.016345090328130762,0.8856464624830441,0.36782821323238,0.027780430391430855,0.016077928350296006,-0.727861313109994,0.8500000000000002,0.5670103092783505,0.41353383458646614,0.4782608695652174,0.011920855352095366,42,78,0.4782608695652174,0.8500000000000002,0.0
A_year,2020-05,1,lightgbm,8183,0.04362703165098375,0.8779629919946512,0.46927564670388017,0.08103414624929428,0.04172371376030781,-0.9421604393802279,0.8500000000000002,0.5952380952380952,0.42016806722689076,0.49261083743842365,0.030795551753635585,102,207,0.49261083743842365,0.8500000000000002,0.0
A_year,2020-06,1,lightgbm,7694,0.07863270080582271,0.8872122914211169,0.60852438585491,0.12457932531833649,0.07244959916980467,-0.7195309117770563,0.8500000000000002,0.6065573770491803,0.5504132231404959,0.5771230502599654,0.07135430205354822,216,272,0.5774378585086042,0.9000000000000002,0.0003148082486388315
A_year,2020-07,1,lightgbm,8066,0.06459211505083065,0.8675282915431277,0.514327320982889,0.127840057015419,0.06041997372409091,-1.1158575407398112,0.8500000000000002,0.55625,0.5124760076775432,0.5334665334665335,0.05950905033473841,213,254,0.5334665334665335,0.8500000000000002,0.0
A_year,2020-08,1,lightgbm,7374,0.09506373745592622,0.8645184364440087,0.5563350399315318,0.15908189117908478,0.08602662327683695,-0.8492169646965357,0.8500000000000002,0.5879556259904913,0.5292439372325249,0.5570570570570571,0.08557092487116898,260,330,0.5570570570570571,0.8500000000000002,0.0
A_year,2020-09,1,lightgbm,7521,0.10198111953197712,0.8958461623398408,0.6435271785895826,0.17169876396656036,0.09158097079098172,-0.8748301364749029,0.8500000000000002,0.5899014778325123,0.6245110821382008,0.6067131095630146,0.1079643664406329,333,288,0.6091872791519435,0.9000000000000002,0.002474169588928876
A_year,2020-10,1,lightgbm,9821,0.14092251298238467,0.9025398465059971,0.6676675335003418,0.17460526525974274,0.1210633583171143,-0.44226351958930743,0.8500000000000002,0.6102150537634409,0.6560693641618497,0.6323119777158774,0.15151206598106098,580,476,0.6323119777158774,0.8500000000000002,0.0
A_year,2020-11,1,lightgbm,11941,0.014990369315802696,0.9460558051256818,0.4120526184536978,0.03032694384455681,0.014765658143578537,-1.0538836501335194,0.8500000000000002,0.4421768707482993,0.36312849162011174,0.3987730061349693,0.012310526756553053,82,114,0.41089108910891087,0.7500000000000002,0.012118082973941569
A_year,2020-12,1,lightgbm,12484,0.0007209227811598846,0.9079403250946336,0.12118387304871926,0.0020719575695693493,0.0007204030515034894,-1.8761088188690347,0.8500000000000002,0.25,0.1111111111111111,0.15384615384615385,0.0003204101249599487,3,8,0.18181818181818182,0.9000000000000002,0.02797202797202797
A_year,2021-01,1,lightgbm,11946,8.371002846140967e-05,0.8735035579740478,0.0006613756613756613,0.0003404082090128213,8.370302109254466e-05,-3.066856901574143,0.8500000000000002,0.0,0.0,0.0,0.0,0,1,0.0,0.1,0.0
A_year,2021-02,1,lightgbm,8757,0.0051387461459403904,0.9617181920212223,0.4300534926666388,0.009152132086455822,0.005112339433987974,-0.7902043095202962,0.8500000000000002,0.6129032258064516,0.4222222222222222,0.5,0.003540025122758936,12,26,0.5411764705882353,0.8000000000000002,0.04117647058823526
A_year,2021-08,1,lightgbm,8087,0.05354272288858662,0.9010850943007961,0.5271088081396732,0.11939758062362671,0.050675899714262646,-1.3561018412470824,0.8500000000000002,0.549367088607595,0.5011547344110855,0.5241545893719807,0.04884382342030419,178,216,0.5257510729613734,0.8000000000000002,0.0015964835893926832
A_year,2021-09,1,lightgbm,10840,0.14621771217712176,0.8854693600696699,0.6466101428004771,0.21648664772510529,0.12483809282281014,-0.7341393386422299,0.8500000000000002,0.6092673763306199,0.6138801261829653,0.6115650534255186,0.14732472324723248,624,612,0.6115650534255186,0.8500000000000002,0.0
A_year,2021-10,1,lightgbm,11326,0.09032315027370652,0.9054148071972509,0.6189928851715689,0.16561268270015717,0.08216487879833995,-1.0156140326893928,0.8500000000000002,0.5894230769230769,0.5992179863147605,0.5942801745031507,0.09182412149037612,427,410,0.5942801745031507,0.8500000000000002,0.0
A_year,2021-11,1,lightgbm,11462,0.016576513697435003,0.9251652907997461,0.34652930632663026,0.0481276735663414,0.016301732891073752,-1.95230414385543,0.8500000000000002,0.4311377245508982,0.37894736842105264,0.40336134453781514,0.014569883091956028,95,118,0.40336134453781514,0.8500000000000002,0.0
A_year,2021-12,1,lightgbm,12646,0.0012652222046496916,0.9454968329374505,0.22530998462482318,0.0026366945821791887,0.001263621417422553,-1.0866175152027218,0.8500000000000002,0.45454545454545453,0.3125,0.37037037037037035,0.000869840265696663,6,11,0.42857142857142855,0.7500000000000002,0.0582010582010582
A_year,2022-01,1,lightgbm,9643,0.01005911023540392,0.9451381374181661,0.3884360267944236,0.016970017924904823,0.009957924536675912,-0.7041721758788948,0.8500000000000002,0.5072463768115942,0.36082474226804123,0.42168674698795183,0.007155449548895572,34,62,0.425531914893617,0.7500000000000002,0.003845167905665192
A_year,2022-02,1,lightgbm,11064,0.025307302964569775,0.908207927087749,0.4091920040466084,0.04564977437257767,0.024666843381229254,-0.8506532703457228,0.8500000000000002,0.5142857142857142,0.38571428571428573,0.44081632653061226,0.01898047722342733,102,172,0.4410058027079304,0.8000000000000002,0.00018947617731812638
A_year,2022-03,1,lightgbm,12343,0.02787004780037268,0.9176387276459083,0.5234901863075794,0.04028976336121559,0.02709330823597762,-0.48707433622720897,0.8500000000000002,0.6007604562737643,0.45930232558139533,0.5205930807248764,0.021307623754354695,105,186,0.5391566265060241,0.8000000000000002,0.018563545781147717
A_year,2022-04,1,lightgbm,11784,0.02265784114052953,0.949727466871152,0.6199746739259725,0.029848305508494377,0.02214446337538006,-0.34789021537904374,0.8500000000000002,0.640495867768595,0.5805243445692884,0.6090373280943026,0.02053632043448744,87,112,0.6090373280943026,0.8500000000000002,0.0
A_year,2022-05,1,lightgbm,11573,0.06212736541951093,0.8616979876796926,0.46599350529969613,0.12746991217136383,0.058267555885541486,-1.1876653350924955,0.8500000000000002,0.5239669421487604,0.44089012517385257,0.4788519637462236,0.05227685129179988,288,402,0.4788519637462236,0.8500000000000002,0.0
A_year,2022-06,1,lightgbm,10760,0.04888475836431227,0.9019788656465326,0.5756271014853539,0.10252685844898224,0.046495038763975066,-1.205113947091089,0.8500000000000002,0.5705645161290323,0.5380228136882129,0.5538160469667319,0.046096654275092935,213,243,0.5652173913043478,0.9000000000000002,0.01140134433761586
A_year,2022-07,1,lightgbm,10903,0.08071173071631661,0.9055906641996136,0.6265366089137338,0.14551705121994019,0.0741973472410934,-0.961216359219742,0.8500000000000002,0.6056338028169014,0.5863636363636363,0.5958429561200924,0.07814363019352472,336,364,0.5968992248062015,0.9000000000000002,0.0010562686861090853
A_year,2022-08,1,lightgbm,10296,0.10450660450660451,0.9036720117088275,0.6568660713967993,0.1642628163099289,0.09358497412110466,-0.7552263902681942,0.8500000000000002,0.6150978564771669,0.6133828996282528,0.6142391810144253,0.10421522921522922,413,416,0.6142391810144253,0.8500000000000002,0.0
A_year,2022-09,1,lightgbm,9882,0.13266545233758348,0.8788316481677123,0.6570530182680913,0.20096619427204132,0.11506533009364785,-0.7465399361256915,0.8500000000000002,0.6097560975609756,0.6102212051868803,0.6099885627144491,0.1327666464278486,512,511,0.6099885627144491,0.8500000000000002,0.0
A_year,2022-10,1,lightgbm,9151,0.06185116380723418,0.927587356532369,0.619513939343904,0.10070808976888657,0.05802559734292487,-0.7355804055529647,0.8500000000000002,0.6018348623853211,0.5795053003533569,0.5904590459045904,0.0595563326412414,217,238,0.5904590459045904,0.8500000000000002,0.0
A_year,2022-11,1,lightgbm,10078,0.04157570946616392,0.9144330006441617,0.4005304524280943,0.08330471813678741,0.039847169848549045,-1.0906056428451918,0.8500000000000002,0.4572192513368984,0.4081145584725537,0.4312736443883985,0.03711053780512007,203,248,0.4476295479603087,0.8000000000000002,0.01635590357191019
A_year,2022-12,1,lightgbm,10184,0.003534956794972506,0.9706893531292428,0.40764540703797203,0.00881317537277937,0.0035224608754301835,-1.5019938288748356,0.8500000000000002,0.5294117647058824,0.5,0.5142857142857142,0.0033385703063629223,16,18,0.525,0.7500000000000002,0.010714285714285787
A_year,2023-01,1,lightgbm,9483,0.00021090372245070126,0.9984178884083957,0.53125,0.0010176463983953,0.0002108592420705577,-3.826188259060398,0.8500000000000002,1.0,0.5,0.6666666666666666,0.00010545186122535063,0,1,0.6666666666666666,0.8500000000000002,0.0
A_year,2023-02,1,lightgbm,8484,0.007661480433757662,0.9311392728900746,0.5751503747516291,0.012766568921506405,0.00760278215132081,-0.6791969922863705,0.8500000000000002,0.609375,0.6,0.6046511627906976,0.007543611504007544,25,26,0.6206896551724138,0.9000000000000002,0.016038492381716174
A_year,2023-03,1,lightgbm,10063,0.0021862267713405547,0.9305846031271786,0.5043510241143937,0.005350019317120314,0.0021814471838448287,-1.4525092134895679,0.8500000000000002,0.6,0.5454545454545454,0.5714285714285714,0.0019874788830368676,8,10,0.5777777777777777,0.8000000000000002,0.006349206349206327
A_year,2023-04,1,lightgbm,10999,0.010455495954177652,0.9458918556157423,0.4624171352022045,0.02502726949751377,0.010346178558529828,-1.4189868129503944,0.8500000000000002,0.5154639175257731,0.43478260869565216,0.4716981132075472,0.008818983543958542,47,65,0.4716981132075472,0.8500000000000002,0.0
A_year,2023-05,1,lightgbm,13622,0.03163999412714726,0.8941127510654193,0.4698488745385581,0.07827434688806534,0.03063890489878135,-1.5547370947705992,0.8500000000000002,0.5384615384615384,0.4709976798143852,0.5024752475247525,0.02767581852885039,174,228,0.5135135135135135,0.9000000000000002,0.011038265988761009
A_year,2023-06,1,lightgbm,15042,0.06156096263794708,0.909390306298874,0.5584781789638448,0.11625584959983826,0.05777121051703636,-1.0123492057614953,0.8500000000000002,0.5270562770562771,0.5259179265658748,0.5264864864864864,0.06142800159553251,437,439,0.5264864864864864,0.8500000000000002,0.0
A_year,2023-07,1,lightgbm,16422,0.08878333942272561,0.913690960729161,0.6393137655287422,0.14121955633163452,0.0809008580636747,-0.7455878678132777,0.8500000000000002,0.5978112175102599,0.5994513031550068,0.5986301369863014,0.08902691511387163,588,584,0.6010719754977029,0.9000000000000002,0.0024418385114014507
A_year,2023-08,1,lightgbm,16431,0.08246607023309598,0.9055585770105513,0.5705643474886508,0.14247529208660126,0.07566541749340606,-0.8829644612615453,0.8500000000000002,0.5380747126436781,0.5527675276752767,0.5453221696396069,0.08471791126529121,643,606,0.5453221696396069,0.8500000000000002,0.0
A_year,2023-09,1,lightgbm,15540,0.14974259974259974,0.8819779103746941,0.6746488611677767,0.21702809631824493,0.1273197535649273,-0.7045909235723617,0.8500000000000002,0.6080799666805498,0.6274172754619682,0.6175972927241963,0.1545045045045045,941,867,0.6175972927241963,0.8500000000000002,0.0
A_year,2023-10,1,lightgbm,16705,0.09236755462436397,0.885377691935949,0.6043339002595047,0.15598714351654053,0.0838357894770791,-0.8606271198673183,0.8500000000000002,0.6026170798898072,0.5670771224886585,0.5843071786310517,0.08692008380724334,577,668,0.5843071786310517,0.8500000000000002,0.0
A_year,2023-11,1,lightgbm,16050,0.02336448598130841,0.9250810419989368,0.4328810951680502,0.05223465710878372,0.022818586776137656,-1.2891276143099129,0.8500000000000002,0.5197568389057751,0.456,0.48579545454545453,0.020498442367601247,158,204,0.4859335038363171,0.8000000000000002,0.00013804929086258522
A_year,2023-12,1,lightgbm,17140,0.005542590431738623,0.9361652591437527,0.30210292393991695,0.011726552620530128,0.0055118701230446225,-1.1275088778856546,0.8500000000000002,0.49206349206349204,0.3263157894736842,0.3924050632911392,0.00367561260210035,32,64,0.40718562874251496,0.8000000000000002,0.014780565451375738
A_year,2024-01,1,lightgbm,15957,0.006454847402393934,0.8816267616760218,0.3538798680437149,0.008900970220565796,0.006413182347405742,-0.3879178445887186,0.8500000000000002,0.5614035087719298,0.3106796116504854,0.4,0.0035721000188005266,25,71,0.4048582995951417,0.5500000000000002,0.0048582995951416685
A_year,2024-02,1,lightgbm,15865,0.003529782540182792,0.8840940513089288,0.31881025454609585,0.007862835191190243,0.003517323175401813,-1.2354599788209697,0.8500000000000002,0.4878048780487805,0.35714285714285715,0.41237113402061853,0.0025843050740624015,21,36,0.42201834862385323,0.7500000000000002,0.0096472146032347
A_year,2024-03,1,lightgbm,17518,0.010560566274688892,0.9515063439369676,0.4556984083983902,0.01775028370320797,0.010449040714646795,-0.6987476829645003,0.8500000000000002,0.5955882352941176,0.43783783783783786,0.5046728971962616,0.007763443315446969,55,104,0.5202312138728323,0.8000000000000002,0.015558316676570705
A_year,2024-04,1,lightgbm,16950,0.00448377581120944,0.9724443709724708,0.44771158512848847,0.013662672601640224,0.004463671565684253,-2.0608597430590354,0.8500000000000002,0.559322033898305,0.4342105263157895,0.4888888888888889,0.003480825958702065,26,43,0.515625,0.9000000000000002,0.026736111111111127
A_year,2024-05,1,lightgbm,17786,0.07646463510626335,0.9256908434261323,0.6538682865031731,0.1158885806798935,0.07061779468432935,-0.6410676826985378,0.8500000000000002,0.6053199137311287,0.6191176470588236,0.6121410396219557,0.07820757899471495,549,518,0.6121410396219557,0.8500000000000002,0.0
A_year,2024-06,1,lightgbm,17241,0.07801171625775767,0.9124949719646102,0.5923124273952454,0.1313127726316452,0.07192588838427677,-0.8256677196683828,0.8500000000000002,0.5687022900763359,0.5539033457249071,0.5612052730696798,0.07598167159677513,565,600,0.5612052730696798,0.8500000000000002,0.0
A_year,2024-07,1,lightgbm,17744,0.135595130748422,0.8778931344434151,0.6509654633240426,0.19658826291561127,0.11720909126574035,-0.6772441522466872,0.8500000000000002,0.609641638225256,0.5939318370739817,0.6016842105263158,0.13210099188458072,915,977,0.6016842105263158,0.8500000000000002,0.0
A_year,2024-08,1,lightgbm,16991,0.08581013477723501,0.8949397260949011,0.6202285974448624,0.1598004698753357,0.07844675554674778,-1.0370564564662947,0.8500000000000002,0.5981173062997828,0.5665294924554184,0.5818950334624868,0.08127832381849215,555,632,0.5818950334624868,0.8500000000000002,0.0
A_year,2024-09,1,lightgbm,15684,0.10941086457536343,0.8866575565995669,0.6256494166699683,0.18901990354061127,0.09744012728823492,-0.9398569029110231,0.8500000000000002,0.6059322033898306,0.5833333333333334,0.5944180522565321,0.10533027288956899,651,715,0.5944180522565321,0.8500000000000002,0.0
