horizon_h,calendar_month,pr_auc_A_seen,pr_auc_B_unseen,roc_auc_A_seen,roc_auc_B_unseen,roc_auc_cost_of_unseen,pr_auc_cost_of_unseen
1,1,0.33877964822080264,0.332075005869094,0.9211618210079024,0.9181316563718883,0.003030164636014132,0.006704642351708645
1,2,0.41257668032257216,0.4227430951064937,0.9367939459482715,0.9390695929813799,-0.002275647033108452,-0.010166414783921551
1,3,0.46940392732170005,0.4742865199240463,0.9397537488694961,0.9444104676844707,-0.0046567188149745364,-0.004882592602346247
1,4,0.4905707614034034,0.482875118875275,0.9253462973536403,0.92377894995419,0.0015673473994503029,0.007695642528128377
1,5,0.5747396194674871,0.558482815885997,0.8989480217170327,0.8904878372381738,0.008460184478858879,0.016256803581490065
1,6,0.5664926145806949,0.5649887762599097,0.9016710123565662,0.8992476288872064,0.0024233834693597744,0.0015038383207851558
1,7,0.6258963023927407,0.6238792796598546,0.8945963058456958,0.89494249242495,-0.00034618657925422625,0.0020170227328861756
1,8,0.596020092590539,0.5927560791875909,0.8981640072364202,0.8959966869727564,0.002167320263663841,0.0032640134029481294
1,9,0.6569412285839517,0.6532440591760655,0.8852710624819691,0.883683252478341,0.0015878100036280651,0.003697169407886114
1,10,0.5994534798958991,0.5953378344143502,0.8979850389768976,0.895460324884749,0.0025247140921486055,0.0041156454815489685
1,11,0.48843173148676444,0.4795637496657949,0.9345976678150869,0.9303449245346468,0.004252743280440119,0.00886798182096954
1,12,0.2720426436881658,0.2570745968187517,0.9303729253893179,0.9295530315376929,0.0008198938516250642,0.014968046869414053
2,1,0.30971904334315686,0.3036907426528489,0.9020811261784135,0.9067688464861445,-0.004687720307731014,0.006028300690307964
2,2,0.36867239409911423,0.37644666984520064,0.9126611743365312,0.919908543849031,-0.007247369512499824,-0.007774275746086412
2,3,0.42395613712972996,0.4345865608734452,0.9124684620795216,0.9236259667567215,-0.011157504677199892,-0.010630423743715256
2,4,0.43646368766695604,0.4366222916980714,0.8927839883104169,0.893781233766922,-0.000997245456505036,-0.00015860403111533916
2,5,0.5586360439804924,0.5405637650512402,0.8660075029627226,0.8554714496626923,0.010536053300030268,0.018072278929252228
2,6,0.5605414531622215,0.555925058390285,0.8697817785747414,0.8662645064411828,0.003517272133558569,0.004616394771936427
2,7,0.6288956909618785,0.6260454058832705,0.8639689541467108,0.8655866672133709,-0.0016177130666600315,0.0028502850786079614
2,8,0.5940539981570523,0.5903623508687139,0.8690198752363918,0.865558549638129,0.0034613255982628433,0.0036916472883383733
2,9,0.6601951842043532,0.6563783404756753,0.8523091580048242,0.8510396966157611,0.0012694613890631423,0.0038168437286778545
2,10,0.5987469991190566,0.5918808356547693,0.8681102082893284,0.8635923791805677,0.00451782910876064,0.006866163464287256
2,11,0.4651882375465984,0.4607070549773427,0.9158898655431836,0.9090445481671531,0.0068453173760305575,0.004481182569255671
2,12,0.2447130720563478,0.2474196078530628,0.9159743635960352,0.906096536107517,0.009877827488518287,-0.0027065357967150094
3,1,0.2689662685482233,0.26969918284327615,0.8829749789332759,0.8870923949695935,-0.004117416036317545,-0.0007329142950528444
3,2,0.3448905507016586,0.3492623554540568,0.8899445443097794,0.8964595719992923,-0.006515027689512842,-0.004371804752398234
3,3,0.3896311575908328,0.40102945284070024,0.8894547263607147,0.9015433811720481,-0.012088654811333477,-0.011398295249867463
3,4,0.4110252244145962,0.4068659953869074,0.8596929124025521,0.8685568188837445,-0.008863906481192396,0.004159229027688838
3,5,0.5505734241579323,0.5346860487201626,0.8411878165765653,0.8299113760258677,0.011276440550697542,0.015887375437769746
3,6,0.5597586981287926,0.5546330007551173,0.8455711631813024,0.8411167047061677,0.004454458475134704,0.0051256973736752975
3,7,0.6305020118610196,0.6227251144422994,0.8400466087528988,0.8393998867917594,0.0006467219611394626,0.00777689741872023
3,8,0.5938531693996747,0.5850462713270921,0.8470097475707359,0.8403709259934873,0.006638821577248599,0.008806898072582614
3,9,0.6668726118632884,0.6627933533342943,0.8288573943799618,0.8260310053850385,0.002826388994923268,0.004079258528994045
3,10,0.5970191477469728,0.5930967582437544,0.8448281753967221,0.8411058315000108,0.003722343896711222,0.0039223895032184375
3,11,0.4670924730483611,0.46159038344233977,0.9019860878070137,0.8965836479764484,0.00540243983056532,0.005502089606021332
3,12,0.20683490097998017,0.21219972253409825,0.892800995785717,0.889499554514339,0.0033014412713779917,-0.005364821554118077
6,1,0.24083514960763763,0.23513502346607795,0.8542456265245557,0.8534114121459833,0.000834214378572451,0.0057001261415596804
6,2,0.32660802121601484,0.33135540568022165,0.8612837885506286,0.8713606182569996,-0.010076829706371027,-0.004747384464206805
6,3,0.3427346445353441,0.3612197286579943,0.8484149245162466,0.8667902258493658,-0.018375301333119265,-0.01848508412265021
6,4,0.37282693982276327,0.38647728569811585,0.8138654477068367,0.8409899234850248,-0.027124475778188106,-0.013650345875352576
6,5,0.5564083794398458,0.5444743006957014,0.7969439294670712,0.785884881106111,0.011059048360960166,0.011934078744144427
6,6,0.5870376098932115,0.5834197552609078,0.8056715832360027,0.8018477578079349,0.0038238254280678063,0.0036178546323036853
6,7,0.6463535500204883,0.6441547106690834,0.7960191399165376,0.7996841266349313,-0.003664986718393659,0.0021988393514049687
6,8,0.6102230625809864,0.6027952919959035,0.8067252372071541,0.7994144963652008,0.007310740841953267,0.007427770585082816
6,9,0.689799244137577,0.6902824935812845,0.7831968851397038,0.7850212449767773,-0.0018243598370735192,-0.0004832494437074786
6,10,0.6180929603259341,0.6137229298049346,0.8086273637453649,0.8052096105013304,0.0034177532440344827,0.0043700305209994905
6,11,0.48170219155885174,0.47061553863699673,0.8805763529169303,0.8697487534443927,0.01082759947253753,0.011086652921855011
6,12,0.1809935038404074,0.17814068577475425,0.866577212295903,0.8567775371572597,0.009799675138643327,0.0028528180656531565
