horizon_h,V1_headline_roc_auc,V1_test_rain_rate,V1_brier_skill,CV_mean_roc_auc,CV_worst_month_roc_auc,CV_worst_month,V1_headline_f1,CV_mean_f1,CV_worst_month_f1,f1_spread,best_threshold_min,best_threshold_max,CV_mean_brier_skill,mean_cost_of_unseen_season_roc
1,0.8987649926617468,0.0733609184684422,-0.8319961285228594,0.8993618643139937,0.6304888600475882,2025-01,0.5621864164797064,0.4867056225555007,0.0,0.6666666666666666,0.1,0.9000000000000002,-1.0323275068172257,0.001629584087320964
2,0.8690993955516098,0.1075120927792994,-0.6254565523566875,0.8729162436602996,0.6376716660643295,2020-01,0.5327886710239651,0.44696568585434215,0.0,0.6240848270638728,0.1,0.9000000000000002,-0.8295146813866107,0.0011931277811357093
3,0.8485956072488989,0.1363948948073897,0.28786458260593684,0.8501473478315281,0.6288872370537419,2020-02,0.5229072268753718,0.42147152556936607,0.0,0.6331811263318112,0.1,0.5000000000000001,0.22134145785402856,0.0005570042949534874
6,0.8155695368123062,0.2083804417506847,0.2497972650367104,0.8134528583183238,0.5747495112414467,2020-02,0.5325221884245177,0.4014731642043871,0.0,0.6600234466588512,0.1,0.3500000000000001,0.17710092744304187,-0.0011660913756980455
