calendar_month,A_seen_full,A_seen_matched,B_unseen,cost_of_unseen_volume_matched,cost_of_volume_alone
1,0.9211618210079024,0.9293854219935115,0.9181220488818402,0.011263373111671249,-0.008223600985609036
2,0.9367939459482715,0.9372947606039398,0.9390695929813799,-0.0017748323774401387,-0.0005008146556683135
3,0.9397537488694961,0.9388995051702339,0.9444104676844707,-0.005510962514236772,0.000854243699262236
4,0.9253462973536403,0.923809576290316,0.92377894995419,3.062633612604948e-05,0.0015367210633242534
5,0.8989480217170327,0.8991632985084219,0.8972962669287396,0.0018670315796822656,-0.0002152767913892184
6,0.9016710123565662,0.9016583711280224,0.8991245634783135,0.002533807649708897,1.264122854383043e-05
7,0.8945963058456958,0.894510235490882,0.89494249242495,-0.00043225693406800936,8.607035481378311e-05
8,0.8981640072364202,0.8988115409392143,0.8959966869727564,0.0028148539664579753,-0.0006475337027941341
9,0.8852710624819691,0.8847834524952551,0.883683252478341,0.0011002000169141324,0.00048760998671393274
10,0.8979850389768976,0.8977618401204677,0.895460324884749,0.002301515235718643,0.0002231988564299625
11,0.9345976678150869,0.9334094790499612,0.9303449245346468,0.0030645545153143994,0.0011881887651257195
12,0.9303729253893179,0.930768245159967,0.9295530315376929,0.0012152136222741694,-0.0003953197706491052
