month,target,rows,base_rate,om_only,hw_offset0h,raw_ir_roc,hw_valid_share,env1_nan_share,tb_min_env_p10,tb_min_env_median,cold235_wet_mean,roc_gain
202407,h1_1.0mm,153272,0.21475546740435306,0.7667993213633514,0.8048577718947703,0.7077405984992827,0.9945652173913043,0.005434782608695652,204.6488800048828,225.73202514648438,0.23556046187877655,0.038058450531418875
202407,h1_0.1mm,153272,0.4930385197557284,0.7427742967995541,0.7770597537917774,0.6746385801377571,0.9945652173913043,0.005434782608695652,204.6488800048828,225.73202514648438,0.23556046187877655,0.034285456992223295
202408,h1_1.0mm,154938,0.20865120241645044,0.7789892785949563,0.8240030800688426,0.7288044670980485,0.989247311827957,0.010752688172043012,200.230224609375,224.2272186279297,0.22291019558906555,0.04501380147388634
202408,h1_0.1mm,154938,0.4179026449289393,0.7854986659870449,0.8209609996016676,0.7073300603316706,0.989247311827957,0.010752688172043012,200.230224609375,224.2272186279297,0.22291019558906555,0.0354623336146227
202409,h1_1.0mm,149940,0.22732426303854875,0.7848511587418698,0.8358895595360823,0.7410690438792914,0.9944444444444445,0.005555555555555556,201.8625946044922,226.30967712402344,0.20822188258171082,0.05103840079421251
202409,h1_0.1mm,149940,0.4632252901160464,0.7915189569679402,0.8294546812011643,0.7123874869157925,0.9944444444444445,0.005555555555555556,201.8625946044922,226.30967712402344,0.20822188258171082,0.03793572423322411
202410,h1_1.0mm,154938,0.1312460468058191,0.8539592016556641,0.8883868753207954,0.8260783679715452,0.967741935483871,0.03225806451612903,208.19581604003906,250.09730529785156,0.08987803757190704,0.03442767366513133
202410,h1_0.1mm,154938,0.2788857478475261,0.8525322114351966,0.8782204077757789,0.7984077340441652,0.967741935483871,0.03225806451612903,208.19581604003906,250.09730529785156,0.08987803757190704,0.02568819634058228
202505,h1_1.0mm,154938,0.21724173540383895,0.7868656286973522,0.8353528068959195,0.7517248615162959,0.989247311827957,0.010752688172043012,198.87557983398438,225.47332763671875,0.20171508193016052,0.04848717819856729
202505,h1_0.1mm,154938,0.42773883747047203,0.7703651337582191,0.8066737972859154,0.734197338661523,0.989247311827957,0.010752688172043012,198.87557983398438,225.47332763671875,0.20171508193016052,0.03630866352769624
202506,h1_1.0mm,149940,0.18067226890756302,0.7713521847087739,0.8109654611551991,0.7230184191009916,0.9944444444444445,0.005555555555555556,204.6488800048828,228.86715698242188,0.18264342844486237,0.039613276446425205
202506,h1_0.1mm,149940,0.41487261571295186,0.7423119174169597,0.7759740300146343,0.6902929238045107,0.9944444444444445,0.005555555555555556,204.6488800048828,228.86715698242188,0.18264342844486237,0.0336621125976746
202507,h1_1.0mm,154938,0.20164194710142122,0.7859324554671042,0.8361785932164356,0.7613015079374549,0.989247311827957,0.010752688172043012,205.14540100097656,229.59405517578125,0.2058284431695938,0.0502461377493314
202507,h1_0.1mm,154938,0.4496895532406511,0.7762476301011548,0.8126406060327396,0.7159005885375247,0.989247311827957,0.010752688172043012,205.14540100097656,229.59405517578125,0.2058284431695938,0.03639297593158475
202508,h1_1.0mm,154938,0.19897636473944416,0.8058674599472282,0.8472560754555112,0.7666716804624598,1.0,0.0,202.28720092773438,226.564453125,0.21224233508110046,0.04138861550828299
202508,h1_0.1mm,154938,0.3898075359175928,0.7990880538834698,0.8383601842003678,0.7465680739979134,1.0,0.0,202.28720092773438,226.564453125,0.21224233508110046,0.039272130316898024
202509,h1_1.0mm,149940,0.2559823929571829,0.7562439615093356,0.8222962779888129,0.7475542352167477,1.0,0.0,199.10452270507812,223.3576202392578,0.21360434591770172,0.06605231647947729
202509,h1_0.1mm,149940,0.4981659330398826,0.7592296529553985,0.8169619983071477,0.7352659285199732,1.0,0.0,199.10452270507812,223.3576202392578,0.21360434591770172,0.057732345351749204
202510,h1_1.0mm,154938,0.1421729982315507,0.831866841433008,0.8750554669874746,0.8178533127134363,0.9876337631826925,0.012366236817307568,204.1470489501953,240.54747009277344,0.11403608322143555,0.043188625554466564
202510,h1_0.1mm,154938,0.3011333565684338,0.8200424947999058,0.8554537344098525,0.7844824057530719,0.9876337631826925,0.012366236817307568,204.1470489501953,240.54747009277344,0.11403608322143555,0.03541123960994674
202605,h1_1.0mm,154938,0.1744956046934903,0.7992226158521663,0.8254716621420431,0.6907120085350711,0.989247311827957,0.010752688172043012,200.89097595214844,230.19276428222656,0.16422632336616516,0.0262490462898769
202605,h1_0.1mm,154938,0.3690443919503285,0.7879332533339922,0.8099094420437601,0.6862879464463896,0.989247311827957,0.010752688172043012,200.89097595214844,230.19276428222656,0.16422632336616516,0.02197618870976792
202606,h1_1.0mm,148274,0.15191469846365513,0.8005174845378655,0.8188591621159177,0.6906115433590625,0.9943820224719101,0.0056179775280898875,206.2180938720703,236.40138244628906,0.1304706335067749,0.018341677578052162
202606,h1_0.1mm,148274,0.35904474149210247,0.7815642360914873,0.7979272200275696,0.6786582006976475,0.9943820224719101,0.0056179775280898875,206.2180938720703,236.40138244628906,0.1304706335067749,0.016362983936082265
202607,h1_1.0mm,94962,0.16480276321054738,0.7794065311519321,0.7944771021197636,0.6753281914561071,1.0,0.0,208.92669677734375,235.21055603027344,0.13726025819778442,0.015070570967831487
202607,h1_0.1mm,94962,0.4297087255955014,0.7510139001342463,0.7631224596990482,0.6527589684682802,1.0,0.0,208.92669677734375,235.21055603027344,0.13726025819778442,0.012108559564801946
