era,band,rows,base_rate,om_only,hw_offset0h,raw_ir_roc,roc_gain
2024_25,north,465520,0.20671721945351434,0.7973972819824027,0.8491456021150909,0.7776496032376073,0.051748320132688264
2024_25,central,539120,0.17830538655586883,0.7966225265612241,0.8445295579252765,0.7753162287644209,0.04790703136405239
2024_25,south,528080,0.2093148765338585,0.7877498485492759,0.825232594096584,0.73397862314066,0.03748274554730813
2026,north,120934,0.1702168124762267,0.7729698114329109,0.8023631306192446,0.7017585530944666,0.0293933191863337
2026,central,140054,0.14072429205877732,0.8094428477536489,0.8284671017271131,0.7022560053924473,0.01902425397346419
2026,south,137186,0.1816293207761725,0.7970626693361005,0.8127902622973402,0.6599288911690966,0.01572759296123971
