month,run_type,min_version,max_version,rows,wet1_rate,wet01_rate,wet_intensity,pixel_count_mean
2024-06-01,permanent,07,07,14161,0.21672198291081138,0.461549325612598,3.2826848394265076,10.316926770708283
2024-07-01,permanent,07,07,619752,0.22274716338148162,0.5160838528959971,3.226154307535063,10.316926770708283
2024-08-01,permanent,07,07,619752,0.21583149388787773,0.4409086215131214,3.6264123513397877,10.316926770708283
2024-09-01,permanent,07,07,599760,0.23438375350140056,0.48259303721488594,3.601526017989594,10.316926770708283
2024-10-01,permanent,07,07,619752,0.13316939679097445,0.2851156591668926,3.7628200928470843,10.316926770708283
2024-11-01,permanent,07,07,599760,0.07347605708950247,0.15700947045484862,3.481821877409545,10.316926770708283
2024-12-01,permanent,07,07,619752,0.028943835598755633,0.07367947178871549,3.9929169028554448,10.316926770708283
2025-01-01,permanent,07,07,619752,0.008513082652415805,0.022281493242458275,3.8045990412007704,10.316926770708283
2025-02-01,permanent,07,07,559776,0.030028082661636084,0.07461198765220374,2.8819179536097246,10.316926770708283
2025-03-01,permanent,07,07,619752,0.030831687513715164,0.07089932747292466,3.322605639029603,10.316926770708283
2025-04-01,permanent,07,07,599760,0.10761971455248766,0.24646025076697345,3.2089011750683643,10.316926770708283
2025-05-01,permanent,07,07,619752,0.2226067846493436,0.4487504679291071,3.66286688623614,10.316926770708283
2025-06-01,permanent,07,07,599760,0.1872265572895825,0.4335634253701481,3.104811623308027,10.316926770708283
2025-07-01,permanent,07,07,619752,0.20733938736785038,0.46771611870554675,3.066569630877487,10.316926770708283
2025-08-01,permanent,07,07,619752,0.2061082497515135,0.416095470446243,3.395056132355533,10.316926770708283
2025-09-01,permanent,07,07,599760,0.2603424703214619,0.5162948512738429,3.5458509020965856,10.316926770708283
2025-10-01,permanent,07,07,5831,0.21883038929857657,0.49339735894357745,3.7443768682460474,10.316926770708283
2025-10-01,provisional,07,07,613921,0.14533140257459837,0.30981836425207804,3.4828982529152777,10.316926770708283
2025-11-01,provisional,07,07,599760,0.10359643857543017,0.2598189275710284,3.7448401772537117,10.316926770708283
2025-12-01,provisional,07,07,619752,0.01648078586273219,0.06134550594431321,2.8103920446462793,10.316926770708283
2026-01-01,provisional,07,07,619752,0.0048358052898578785,0.01376518349275194,3.334726319179712,10.316926770708283
2026-02-01,provisional,07,07,559776,0.036795075172926316,0.07620190933516263,4.0045211976050865,10.316926770708283
2026-03-01,provisional,07,07,619752,0.02874536911538809,0.08033051930449599,3.608161859184508,10.316926770708283
2026-04-01,provisional,07,07,599760,0.05248932906495932,0.11143290649593171,3.750559935395887,10.316926770708283
2026-05-01,provisional,07,07,619752,0.17771947488672887,0.38569298687216824,3.4095735189141956,10.316926770708283
2026-06-01,provisional,07,07,598927,0.15926147927877687,0.3729436141633288,3.151847735476651,10.316926770708283
2026-07-01,provisional,07,07,385679,0.16885285431667268,0.435255743766189,2.954384788848445,10.316926770708283
