model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,2,neighbor_cloud_cover_mean,1304.0,True
lightgbm,2,neighbor_cloud_cover_max,699.0,True
lightgbm,2,neighbor_relative_humidity_mean,1439.0,True
lightgbm,2,neighbor_relative_humidity_max,1567.0,True
lightgbm,2,neighbor_pressure_msl_mean,3465.0,True
lightgbm,2,neighbor_pressure_msl_min,3110.0,True
lightgbm,2,neighbor_pressure_msl_max,2831.0,True
lightgbm,2,neighbor_temperature_2m_mean,3494.0,True
lightgbm,2,neighbor_dew_point_2m_mean,5440.0,True
lightgbm,2,neighbor_temperature_dew_point_spread_mean,1448.0,True
lightgbm,2,neighbor_wind_speed_10m_mean,3150.0,True
lightgbm,2,neighbor_wind_speed_10m_max,2909.0,True
lightgbm,2,row_minus_precipitation_mean,1212.0,True
lightgbm,2,row_plus_precipitation_mean,1066.0,True
lightgbm,2,column_minus_precipitation_mean,1091.0,True
lightgbm,2,column_plus_precipitation_mean,1072.0,True
lightgbm,2,row_minus_cloud_cover_mean,1090.0,True
lightgbm,2,row_plus_cloud_cover_mean,1017.0,True
lightgbm,2,column_minus_cloud_cover_mean,984.0,True
lightgbm,2,column_plus_cloud_cover_mean,1069.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,1112.0,True
lightgbm,2,neighbor_cloud_cover_mean_minus_center,783.0,True
lightgbm,2,neighbor_relative_humidity_mean_minus_center,1292.0,True
lightgbm,2,center_pressure_msl_minus_neighbor_mean,1198.0,True
lightgbm,3,temperature_2m,1897.0,False
lightgbm,3,relative_humidity_2m,399.0,False
lightgbm,3,pressure_msl,1821.0,False
lightgbm,3,surface_pressure,1837.0,False
lightgbm,3,dew_point_2m,1943.0,False
lightgbm,3,precipitation,507.0,False
lightgbm,3,cloud_cover,404.0,False
lightgbm,3,wind_speed_10m,1747.0,False
lightgbm,3,wind_direction_10m,5755.0,False
lightgbm,3,temperature_dew_point_spread,863.0,False
lightgbm,3,pressure_msl_change_3h,5676.0,False
lightgbm,3,pressure_msl_change_6h,5931.0,False
lightgbm,3,precipitation_lag_1h,886.0,False
lightgbm,3,precipitation_lag_2h,903.0,False
lightgbm,3,precipitation_lag_3h,981.0,False
lightgbm,3,precipitation_lag_6h,1350.0,False
lightgbm,3,precipitation_sum_past_3h,1042.0,False
lightgbm,3,precipitation_sum_past_6h,1453.0,False
lightgbm,3,precipitation_sum_past_12h,2411.0,False
lightgbm,3,precipitation_sum_past_24h,3560.0,False
lightgbm,3,cloud_cover_lag_1h,1411.0,False
lightgbm,3,cloud_cover_lag_3h,1855.0,False
lightgbm,3,cloud_cover_lag_6h,2160.0,False
lightgbm,3,humidity_lag_1h,1686.0,False
lightgbm,3,humidity_lag_3h,2700.0,False
lightgbm,3,humidity_lag_6h,3873.0,False
lightgbm,3,wind_speed_lag_1h,2854.0,False
lightgbm,3,wind_speed_lag_3h,3498.0,False
lightgbm,3,hour_sin,2561.0,False
lightgbm,3,hour_cos,2893.0,False
lightgbm,3,month_sin,3629.0,False
lightgbm,3,month_cos,2935.0,False
lightgbm,3,grid_row,1130.0,False
lightgbm,3,grid_column,1277.0,False
lightgbm,3,latitude,154.0,False
lightgbm,3,longitude,237.0,False
lightgbm,3,neighbor_count,234.0,True
lightgbm,3,neighbor_precipitation_mean,1409.0,True
lightgbm,3,neighbor_precipitation_max,1140.0,True
lightgbm,3,neighbor_precipitation_sum,602.0,True
lightgbm,3,neighbor_rain_count,309.0,True
lightgbm,3,neighbor_rain_rate,741.0,True
lightgbm,3,neighbor_cloud_cover_mean,1397.0,True
lightgbm,3,neighbor_cloud_cover_max,772.0,True
lightgbm,3,neighbor_relative_humidity_mean,1508.0,True
lightgbm,3,neighbor_relative_humidity_max,1451.0,True
lightgbm,3,neighbor_pressure_msl_mean,3808.0,True
lightgbm,3,neighbor_pressure_msl_min,3103.0,True
lightgbm,3,neighbor_pressure_msl_max,2900.0,True
lightgbm,3,neighbor_temperature_2m_mean,3606.0,True
lightgbm,3,neighbor_dew_point_2m_mean,5503.0,True
lightgbm,3,neighbor_temperature_dew_point_spread_mean,1543.0,True
lightgbm,3,neighbor_wind_speed_10m_mean,3113.0,True
lightgbm,3,neighbor_wind_speed_10m_max,2697.0,True
lightgbm,3,row_minus_precipitation_mean,999.0,True
lightgbm,3,row_plus_precipitation_mean,743.0,True
lightgbm,3,column_minus_precipitation_mean,937.0,True
lightgbm,3,column_plus_precipitation_mean,864.0,True
lightgbm,3,row_minus_cloud_cover_mean,1135.0,True
lightgbm,3,row_plus_cloud_cover_mean,1062.0,True
lightgbm,3,column_minus_cloud_cover_mean,1211.0,True
lightgbm,3,column_plus_cloud_cover_mean,994.0,True
lightgbm,3,neighbor_precipitation_mean_minus_center,816.0,True
lightgbm,3,neighbor_cloud_cover_mean_minus_center,922.0,True
lightgbm,3,neighbor_relative_humidity_mean_minus_center,1393.0,True
lightgbm,3,center_pressure_msl_minus_neighbor_mean,869.0,True
lightgbm,4,temperature_2m,1714.0,False
lightgbm,4,relative_humidity_2m,375.0,False
lightgbm,4,pressure_msl,1819.0,False
lightgbm,4,surface_pressure,1836.0,False
lightgbm,4,dew_point_2m,1881.0,False
lightgbm,4,precipitation,340.0,False
lightgbm,4,cloud_cover,388.0,False
lightgbm,4,wind_speed_10m,1649.0,False
lightgbm,4,wind_direction_10m,5996.0,False
lightgbm,4,temperature_dew_point_spread,795.0,False
lightgbm,4,pressure_msl_change_3h,5666.0,False
lightgbm,4,pressure_msl_change_6h,5858.0,False
lightgbm,4,precipitation_lag_1h,795.0,False
lightgbm,4,precipitation_lag_2h,821.0,False
lightgbm,4,precipitation_lag_3h,1009.0,False
lightgbm,4,precipitation_lag_6h,1234.0,False
lightgbm,4,precipitation_sum_past_3h,985.0,False
lightgbm,4,precipitation_sum_past_6h,1611.0,False
lightgbm,4,precipitation_sum_past_12h,2140.0,False
lightgbm,4,precipitation_sum_past_24h,3612.0,False
lightgbm,4,cloud_cover_lag_1h,1604.0,False
lightgbm,4,cloud_cover_lag_3h,1910.0,False
lightgbm,4,cloud_cover_lag_6h,2374.0,False
lightgbm,4,humidity_lag_1h,1576.0,False
lightgbm,4,humidity_lag_3h,2840.0,False
lightgbm,4,humidity_lag_6h,3637.0,False
lightgbm,4,wind_speed_lag_1h,2677.0,False
lightgbm,4,wind_speed_lag_3h,3564.0,False
lightgbm,4,hour_sin,2699.0,False
lightgbm,4,hour_cos,2730.0,False
lightgbm,4,month_sin,3606.0,False
lightgbm,4,month_cos,3288.0,False
lightgbm,4,grid_row,1248.0,False
lightgbm,4,grid_column,1271.0,False
lightgbm,4,latitude,168.0,False
lightgbm,4,longitude,251.0,False
lightgbm,4,neighbor_count,223.0,True
lightgbm,4,neighbor_precipitation_mean,1250.0,True
lightgbm,4,neighbor_precipitation_max,1024.0,True
lightgbm,4,neighbor_precipitation_sum,508.0,True
lightgbm,4,neighbor_rain_count,339.0,True
lightgbm,4,neighbor_rain_rate,520.0,True
lightgbm,4,neighbor_cloud_cover_mean,1534.0,True
lightgbm,4,neighbor_cloud_cover_max,654.0,True
lightgbm,4,neighbor_relative_humidity_mean,1528.0,True
lightgbm,4,neighbor_relative_humidity_max,1485.0,True
lightgbm,4,neighbor_pressure_msl_mean,4064.0,True
lightgbm,4,neighbor_pressure_msl_min,3158.0,True
lightgbm,4,neighbor_pressure_msl_max,3019.0,True
lightgbm,4,neighbor_temperature_2m_mean,3809.0,True
lightgbm,4,neighbor_dew_point_2m_mean,5779.0,True
lightgbm,4,neighbor_temperature_dew_point_spread_mean,1454.0,True
lightgbm,4,neighbor_wind_speed_10m_mean,3221.0,True
lightgbm,4,neighbor_wind_speed_10m_max,2775.0,True
lightgbm,4,row_minus_precipitation_mean,926.0,True
lightgbm,4,row_plus_precipitation_mean,727.0,True
lightgbm,4,column_minus_precipitation_mean,883.0,True
lightgbm,4,column_plus_precipitation_mean,761.0,True
lightgbm,4,row_minus_cloud_cover_mean,1217.0,True
lightgbm,4,row_plus_cloud_cover_mean,1083.0,True
lightgbm,4,column_minus_cloud_cover_mean,1022.0,True
lightgbm,4,column_plus_cloud_cover_mean,1091.0,True
lightgbm,4,neighbor_precipitation_mean_minus_center,933.0,True
lightgbm,4,neighbor_cloud_cover_mean_minus_center,919.0,True
lightgbm,4,neighbor_relative_humidity_mean_minus_center,1335.0,True
lightgbm,4,center_pressure_msl_minus_neighbor_mean,792.0,True
lightgbm,5,temperature_2m,1797.0,False
lightgbm,5,relative_humidity_2m,331.0,False
lightgbm,5,pressure_msl,1910.0,False
lightgbm,5,surface_pressure,1872.0,False
lightgbm,5,dew_point_2m,1793.0,False
lightgbm,5,precipitation,300.0,False
lightgbm,5,cloud_cover,351.0,False
lightgbm,5,wind_speed_10m,1754.0,False
lightgbm,5,wind_direction_10m,6053.0,False
lightgbm,5,temperature_dew_point_spread,735.0,False
lightgbm,5,pressure_msl_change_3h,5487.0,False
lightgbm,5,pressure_msl_change_6h,5932.0,False
lightgbm,5,precipitation_lag_1h,766.0,False
lightgbm,5,precipitation_lag_2h,735.0,False
lightgbm,5,precipitation_lag_3h,889.0,False
lightgbm,5,precipitation_lag_6h,1270.0,False
lightgbm,5,precipitation_sum_past_3h,788.0,False
lightgbm,5,precipitation_sum_past_6h,1547.0,False
lightgbm,5,precipitation_sum_past_12h,2256.0,False
