model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,mean_predicted_probability
lightgbm,exact_hour_intensity,neighbor_grid,1,validation,0,no_rain,368032,0.7315885575167377,0.6193673376228154,0.9412714359039601,0.7968861421440456,0.8630818893995313,0.5687408837778437
lightgbm,exact_hour_intensity,neighbor_grid,1,validation,1,light,368032,0.2443754890879054,0.2935668637509782,0.5609022417208123,0.6738086237185617,0.6121931508233155,0.2874483358454263
lightgbm,exact_hour_intensity,neighbor_grid,1,validation,2,moderate,368032,0.02261488131466829,0.08381064690026954,0.14793321445939375,0.5482398173735432,0.23299632352941177,0.12585358463414234
lightgbm,exact_hour_intensity,neighbor_grid,1,validation,3,heavy,368032,0.0014210720806886357,0.0032551517259368752,0.07011686143572621,0.16061185468451242,0.09761766414875073,0.017957195742587622
lightgbm,exact_hour_intensity,neighbor_grid,1,test,0,no_rain,368032,0.837451634640466,0.7876271628554039,0.9560012695258597,0.8991236466164194,0.9266905318844771,0.7417023316275526
lightgbm,exact_hour_intensity,neighbor_grid,1,test,1,light,368032,0.15194330927745414,0.178123097991479,0.547524979025246,0.6418633762517882,0.5909528709611032,0.1865889201837459
lightgbm,exact_hour_intensity,neighbor_grid,1,test,2,moderate,368032,0.010224654377880185,0.03334492652812799,0.13746740547588004,0.4483125166090885,0.210414717804802,0.06343834234763819
lightgbm,exact_hour_intensity,neighbor_grid,1,test,3,heavy,368032,0.0003804017041996348,0.0009048126249891314,0.015015015015015015,0.03571428571428571,0.021141649048625793,0.008270405841063398
lightgbm,exact_hour_intensity,neighbor_grid,2,validation,0,no_rain,368032,0.7314744370054778,0.5689831319015738,0.9160713262401864,0.7125732710266487,0.8016088255573431,0.5136333153681508
lightgbm,exact_hour_intensity,neighbor_grid,2,validation,1,light,368032,0.2444896095991653,0.3230316928962699,0.4802920444795855,0.6345854634363192,0.5467620388191472,0.2947699691795635
lightgbm,exact_hour_intensity,neighbor_grid,2,validation,2,moderate,368032,0.02261488131466829,0.1037464133553604,0.07778534387931486,0.35684248468100443,0.12772820126868079,0.16069571383611433
lightgbm,exact_hour_intensity,neighbor_grid,2,validation,3,heavy,368032,0.0014210720806886357,0.004238761846795931,0.0038461538461538464,0.011472275334608031,0.005760921747479597,0.030901001616171427
lightgbm,exact_hour_intensity,neighbor_grid,2,test,0,no_rain,368032,0.8375657551517259,0.7777041126858534,0.9313255537698274,0.8647628069333109,0.8968107779858059,0.7107861348258654
lightgbm,exact_hour_intensity,neighbor_grid,2,test,1,light,368032,0.15182918876619425,0.18108751412920615,0.4514149386309756,0.5384050968180679,0.4910874604159185,0.19118630167038791
lightgbm,exact_hour_intensity,neighbor_grid,2,test,2,moderate,368032,0.010224654377880185,0.039898704460481695,0.07532007627349496,0.2939144299760829,0.1199110966552827,0.08349566891886967
lightgbm,exact_hour_intensity,neighbor_grid,2,test,3,heavy,368032,0.0003804017041996348,0.0013096687244587427,0.002074688796680498,0.007142857142857143,0.003215434083601286,0.01453189458487703
