horizon_h,model,base_rate,roc_auc_V0,roc_auc_V1,pr_auc_V0,pr_auc_V1,brier_V0,brier_V1,roc_auc_delta,pr_auc_delta,brier_delta,lift_V0,lift_V1,brier_skill_V0,brier_skill_V1
1,lightgbm,0.07336091846844221,0.8832793174091652,0.8987649926617468,0.5561690221337633,0.5786676930572399,0.13523828695834728,0.124537437229844,0.015485675252581599,0.02249867092347657,-0.01070084972850327,7.581271251027363,7.8879559462735775,-0.9894099609461349,-0.8319961285228592
2,lightgbm,0.10751209277929949,0.8488502178841595,0.8690993955516098,0.5396140939627742,0.5688934235315742,0.16655414910728253,0.1559678270430413,0.02024917766745027,0.029279329568800083,-0.010586322064241233,5.019101386766718,5.291436607967412,-0.7357844763325099,-0.6254565523566862
3,hist_gradient_boosting,0.1363948948073897,0.8278919065620283,0.8485956072488989,0.5387781216081676,0.570287598869808,0.08726299127525468,0.0838833761588543,0.020703700686870663,0.03150947726164033,-0.003379615116400378,3.950134074805396,4.1811506191279415,0.25917303808594405,0.28786458260593684
6,hist_gradient_boosting,0.20838044175068476,0.7996477046946923,0.8155695368123062,0.5676241345605968,0.5912106780529351,0.12768790045383824,0.1237519676956702,0.015921832117613888,0.023586543492338352,-0.0039359327581680315,2.72397989845768,2.837169712694461,0.22593705840896128,0.24979726503671063
